title,image,price
2 Pcs 8 Pin Multi Gang Socket Double 3 Pin- 1Piece 2 Pin Multi Function Universal Wall Switch Socket,https://static-01.daraz.com.bd/p/ca092aa18e957c4e01533b04a6cfc667.jpg_750x750.jpg_.webp,৳ 158
"Electric Lotha Cable 14/76, Lotha Cable 1 Coil, Wholesale Price 1 Coil - Multi Plug - Multi Plug",https://static-01.daraz.com.bd/p/bb049b18d1c347a0a3ea37f11bb60d22.jpg_750x750.jpg_.webp,৳ 217
"5 watt LED Lighte . kolshi Model LED Lighte , 5 watt lighte",https://static-01.daraz.com.bd/p/b7a57bf0929d4331f7b299cf5d162407.jpg_750x750.jpg_.webp,৳ 67
AC DC Backup LED Light 20 Watt Energy Saving Pin Type B-22 AC/DC Rechargeable IPS LED Bulb,https://static-01.daraz.com.bd/p/82f7dbd680fa2f39b0d436ddf9b4119c.jpg_750x750.jpg_.webp,৳ 198
"100% Fireproof 2.0 RM Cable 1 Coil . Electric Cable 1 Coil 50-60 goj 1 red black , multi colour multi brand name , Alumenium Cable Copper Nickel .",https://static-01.daraz.com.bd/p/67364b28232ebfccc9d68dcf92bded23.jpg_750x750.jpg_.webp,৳ 598
"Fan Regulator - Electronic Fan Dimmer / High Speed Fen Reguletor Sarcket 1 pcs ,",https://static-01.daraz.com.bd/p/796aca35c927cccef737f76e44327c64.jpg_750x750.jpg_.webp,৳ 48
"1.3 RM Electric Cable 1 Coil Paikari mulle , 1 coil Medium qulity 1.3 RM Cable.",https://static-01.daraz.com.bd/p/3b66cfeb7fccec55487d05e2b9c536bb.jpg_750x750.jpg_.webp,৳ 357
"1 gang board , 10 pcs combo gang board box",https://static-01.daraz.com.bd/p/58e28f2e68aed0e9d19114083587696e.jpg_750x750.jpg_.webp,৳ 147
LED Dim Light 0.5 watt 3pcs,https://static-01.daraz.com.bd/p/80961d68d6929a328b8d9348cc09d43f.jpg_750x750.jpg_.webp,৳ 77
Fan Regulator Dimmer Economy With Switch,https://static-01.daraz.com.bd/p/fb349e38f4517201b4213d183506603d.jpg_750x750.jpg_.webp,৳ 135
"black colour Holder ,Pendant Holder Exclusive For Pin Type Light Mode Electric holder , 12 Pcs , 1 Dozon Holder",https://static-01.daraz.com.bd/p/4b22559fab3d85d4a788cba82f55d632.jpg_750x750.jpg_.webp,৳ 187
High quality 4V-6V DC Motor Speed ​​Control / Controller Volt Regulator LED Dima Equipment Professional,https://static-01.daraz.com.bd/p/4020fe9885f71e2c9ad0d42603bde88e.jpg_750x750.jpg_.webp,৳ 64
Double Battery AC/DC Emergency Led Light-15 Watt High Back Up,https://static-01.daraz.com.bd/p/bc2ef416002360986fe770c3fb9062d7.jpg_750x750.jpg_.webp,৳ 348
Bulb Base Socket Holder Converter ( Pin To Patch) 6 pcs,https://static-01.daraz.com.bd/p/51e4e911e509432feb3dbb99abd5b99a.jpg_750x750.jpg_.webp,৳ 127
USB small night lamp usb light protection small night lamp mini lantern charging treasure lamp small round lamp,https://static-01.daraz.com.bd/p/0d99b4f0e5665a1b6741d51d027fcefc.jpg_750x750.jpg_.webp,৳ 195
AC DC Backup LED Light 15 Watt Energy Saving Pin Type B-22 AC/DC Rechargeable IPS LED Bulb,https://static-01.daraz.com.bd/p/023798e6047637c23084f86f80b25521.jpg_750x750.jpg_.webp,৳ 198
Bed Switch (Super Star model) 12 pice bed switch,https://static-01.daraz.com.bd/p/4f61d29892aa6616b51927a9ee34d1b3.jpg_750x750.jpg_.webp,৳ 186
5 Pins Balls Beads SS Falling Hanger medium Long Waterfall Hanger Rack Wall Mounted Stainless Steel Metal Hanging Hooks For Garment Residences Showrooms Retail Stores Display Hook and home,https://static-01.daraz.com.bd/p/717f537c652e647bb6ecc0e509911d2b.jpg_750x750.jpg_.webp,৳ 98
"super model two pin plug , round two pin plug paikari",https://static-01.daraz.com.bd/p/e630bf4b6b240bc0cfa113e821804937.jpg_750x750.jpg_.webp,৳ 145
"Smart LED Atuo On Off Sensor , Love Shape Bulb Led Lamp Plug-In Electric Energy-Saving Small Night Light",https://static-01.daraz.com.bd/p/47362f58fafad1e6b682c41e6ea0aeb8.jpg_750x750.jpg_.webp,৳ 127
12 Watt LED Light . 5 PCS Combo Pack,https://static-01.daraz.com.bd/p/4c884f7ce48fd04da0fdf551bd67c96f.jpg_750x750.jpg_.webp,৳ 298
"100% Fireproof 1,3. RM Cable 1 Coil . Electric Cable 1 Coil Yalow colour IPS Cable",https://static-01.daraz.com.bd/p/08807e6fcd56fb10a987f4a315da0b1d.jpg_750x750.jpg_.webp,৳ 497
Wholesale Price 1 Coil Non Fireproof Cable 1.3 RM Alomenium copper Nickel,https://static-01.daraz.com.bd/p/51ca7df65c4940edb384b61d0569768e.jpg_750x750.jpg_.webp,৳ 361
morich bati . Fairy decorative lights 4 Coloure 40 fit light home decorative . - Room Decoration Light - Room Decoration Light,https://static-01.daraz.com.bd/p/a095a2abd582422827a1768cf81dee64.jpg_750x750.jpg_.webp,৳ 237
"BBB 1.3 cable 1 coil. 1.3 rm Cable 1 coil Electric Cable ,Alumenium Copper Nickel Cable",https://static-01.daraz.com.bd/p/a00bdcb4d76ac8082e386660fa5abf2d.jpg_750x750.jpg_.webp,৳ 460
